2015,2016,2017,2018,2019,2020,2021,2022,2023,Overall
7791.17,8332.00,8761.08,8797.67,8509.00,8575.17,8585.42,7636.17,7655.40,8574.263158
7768.17,8267.67,8714.75,8717.50,8501.42,8513.17,8574.75,7632.17,7633.00,8405.389474
7695.83,8243.25,8706.00,8643.25,8474.58,8442.67,8303.17,7595.42,7568.20,8243.084211
7644.17,8187.33,8650.42,8558.75,8422.00,8435.33,8223.75,7593.50,7515.80,8180.631579
7610.17,8103.83,8553.33,8547.08,8337.67,8319.08,8193.00,7455.92,7376.20,7904.663158
7602.17,7984.25,8306.25,8389.58,8324.58,8307.00,8177.33,7446.50,7288.00,7869.684211
7533.50,7911.75,8298.58,8271.42,8241.00,8260.42,8121.17,7310.92,7239.80,7854.136842
7369.67,7793.17,8236.58,8155.42,8180.00,8243.17,8079.67,7290.33,7232.80,7809.947368
7366.67,7750.50,8071.17,8101.25,8063.50,8236.08,7977.33,7278.33,7214.60,7672.336842
7309.00,7640.42,8056.50,8095.75,8060.92,8100.17,7945.58,7231.42,7126.40,7597
7264.00,7524.08,8002.92,8062.33,7992.75,8013.75,7939.83,7220.67,7019.80,7594.757895
7176.67,7415.92,7988.17,8056.17,7932.50,7896.75,7868.00,7190.00,7017.60,7414.6
6955.67,7387.25,7923.42,8044.67,7913.58,7580.08,7861.17,7024.75,6900.40,7403.821053
6955.67,7368.58,7818.75,7953.33,7893.08,7514.92,7430.60,7016.50,6863.80,7290.789474
6942.67,7311.08,7682.17,7816.67,7565.50,7478.92,7373.00,6991.50,6819.40,7288.315789
6810.33,7306.83,7622.75,7773.83,7338.50,7428.58,7331.42,6983.75,6693.20,7251.494737
