,average_monthly_reads,Time Complexity Class,Time Complexity Bin,reads_bin
234,4722.948453608247,6.0,6,3
235,0.0,5.0,5,0
236,0.0,5.0,5,0
237,0.0,5.0,5,0
238,532.7113402061856,5.0,5,2
239,0.0,6.0,6,0
240,1197.3505154639174,6.0,6,3
241,0.0,6.0,6,0
242,2557.814432989691,5.01,5,3
243,19328.94845360825,5.0,5,4
244,19328.94845360825,5.0,5,4
245,19895.81443298969,5.01,5,4
246,546.7938144329897,5.001,5,2
247,19328.94845360825,5.001,5,4
248,19895.81443298969,5.01,5,4
249,22169.01030927835,5.0,5,4
250,858.2061855670103,5.02,5,2
251,4292.20618556701,4.0,4,3
252,1196.6082474226805,4.0,4,3
253,7575.340206185567,5.0,5,3
254,1610.8969072164948,4.0,4,3
255,1610.8969072164948,4.0,4,3
256,0.0,4.0,4,0
257,243.0606060606061,4.0,4,2
258,0.0,3.0,3,0
259,18582.01030927835,7.0,7,4
260,18582.01030927835,6.0,6,4
261,18582.01030927835,5.01,5,4
262,19338.72164948453,5.0,5,4
263,19338.72164948453,5.01,5,4
264,19338.72164948453,5.0,5,4
265,19338.72164948453,5.0,5,4
266,19338.72164948453,5.0,5,4
267,19338.72164948453,5.0,5,4
268,19338.72164948453,5.0,5,4
269,19338.72164948453,7.0,7,4
270,17875.123711340206,6.0,6,4
271,243.49295774647888,5.373,5,2
272,19338.72164948453,6.0,6,4
273,19338.72164948453,6.0,6,4
274,19338.72164948453,6.0,6,4
275,0.0,5.844,5,0
276,0.0,6.0,6,0
277,2270.2061855670104,8.0,8,3
278,1556.5876288659797,8.0,8,3
279,1216.3917525773195,8.0,8,3
280,232.65671641791045,8.0,8,2
281,1515.4084507042253,8.0,8,3
282,2410.773195876289,8.0,8,3
283,849.7628865979382,8.0,8,2
284,528.0618556701031,8.0,8,2
285,372.8144329896907,8.0,8,2
286,335.12371134020617,8.0,8,2
287,292.8382352941176,8.0,8,2
288,0.0,2.51,2,0
289,0.0,4.5,4,0
290,0.0,2.51,2,0
291,1418.1958762886595,4.5,4,3
292,5476.278350515464,8.0,8,3
293,566.1855670103092,8.0,8,2
294,945.40206185567,8.0,8,2
295,2702.309278350516,8.0,8,3
296,945.40206185567,8.0,8,2
297,580.5463917525773,8.0,8,2
298,1401.5360824742268,5.0,5,3
299,6119.030927835051,5.0,5,3
300,1719.2371134020618,3.0,3,3
301,0.0,3.0,3,0
302,3278.948453608248,4.001,4,3
303,9020.917525773197,7.0,7,3
304,9020.917525773197,7.0,7,3
305,9020.917525773197,4.0,4,3
306,9020.917525773197,7.0,7,3
307,0.0,7.0,7,0
308,9020.917525773197,7.0,7,3
309,9020.917525773197,7.0,7,3
310,2355.556701030928,3.0,3,3
311,814.4123711340206,3.0,3,2
312,10102.030927835052,3.0,3,4
313,422.4845360824742,2.5,2,2
314,209.8556701030928,2.0,2,2
315,390.3043478260869,3.0,3,2
316,276.5773195876289,4.0,4,2
317,489.45360824742266,3.0,3,2
318,26261.680412371134,3.0,3,4
319,6416.865979381443,5.0,5,3
320,4571.865979381443,3.0,3,3
321,2599.340206185567,3.0,3,3
