Algorithm,DOI,Authors,Number of Authors,Title,Year,URL,Algorithm Name,Time Complexity Class
Rick,10.1007/3-540-60044-2_53,['Claus Rick'],1,['A new flexible algorithm for the longest common subsequence problem'],1995.0,http://link.springer.com/10.1007/3-540-60044-2_53,Rick,5.0
Rick,10.1007/3-540-60044-2_53,['Claus Rick'],1,['A new flexible algorithm for the longest common subsequence problem'],1995.0,http://link.springer.com/10.1007/3-540-60044-2_53,Rick,5.0
Hsu and Du (Scheme 1),10.1016/0022-0000(84)90025-4,"['W.J. Hsu', 'M.W. Du']",2,['New algorithms for the LCS problem'],1984.0,https://linkinghub.elsevier.com/retrieve/pii/0022000084900254,Hsu and Du (Scheme 1),5.0
Apostolico and Guerra (Algorithm 2),10.1007/BF01840365,"['A. Apostolico', 'C. Guerra']",2,['The longest common subsequence problem revisited'],1987.0,http://link.springer.com/10.1007/BF01840365,Apostolico and Guerra (Algorithm 2),5.0
Nakatsu et al.,10.1007/BF00264437,"['Narao Nakatsu', 'Yahiko Kambayashi', 'Shuzo Yajima']",3,['A longest common subsequence algorithm suitable for similar text strings'],1982.0,http://link.springer.com/10.1007/BF00264437,Nakatsu et al.,5.0
Miller and Myers,10.1002/spe.4380151102,"['Webb Miller', 'Eugene W. Myers']",2,['A file comparison program'],1985.0,https://onlinelibrary.wiley.com/doi/10.1002/spe.4380151102,Miller and Myers,5.0
Wu et al.,10.1016/0020-0190(90)90035-v,"['Sun Wu', 'Udi Manber', 'Gene Myers', 'Webb Miller']",4,['An O(NP) sequence comparison algorithm'],1990.0,https://linkinghub.elsevier.com/retrieve/pii/002001909090035V,Wu et al.,5.0
Robson,10.1016/0196-6774(86)90032-5,['J.M Robson'],1,['Algorithms for maximum independent sets'],1986.0,https://linkinghub.elsevier.com/retrieve/pii/0196677486900325,Robson,8.0
Johnson,10.1016/0020-0190(88)90065-8,"['David S. Johnson', 'Mihalis Yannakakis', 'Christos H. Papadimitriou']",3,['On generating all maximal independent sets'],1988.0,https://linkinghub.elsevier.com/retrieve/pii/0020019088900658,Johnson,8.0
Alon and Kahale,10.1145/195058.195187,"['Noga Alon', 'Nabil Kahale']",2,['A spectral technique for coloring random 3-colorable graphs (preliminary version)'],1994.0,http://portal.acm.org/citation.cfm?doid=195058.195187,Alon and Kahale,8.0
Incremental convex hull algorithm; Michael Kallay,10.1016/0020-0190(84)90084-X,['Michael Kallay'],1,['The complexity of incremental convex hull algorithms in Rd'],1984.0,https://linkinghub.elsevier.com/retrieve/pii/002001908490084X,Incremental convex hull algorithm; Michael Kallay,4.0
General number field sieve,10.1090/dol/034/15,['Carl Pomerance'],1,['A Tale of Two Sieves'],2009.0,https://www.ams.org/dol/034,General number field sieve,8.0
Shor's algorithm Quantum Implementation,10.1109/SFCS.1994.365700,['P.W. Shor'],1,['Algorithms for quantum computation: discrete logarithms and factoring'],2002.0,http://ieeexplore.ieee.org/document/365700/,Shor's algorithm Quantum Implementation,3.0
Quick-Skip Searching,10.7763/ijcte.2012.v4.462,"['Mustafa Abdul Sahib Naser', ""Nur'Aini Abdul Rashid"", 'Mohammed Faiz Aboalmaaly']",3,['Quick-Skip Search Hybrid Algorithm for the Exact String Matching Problem'],2012.0,http://www.ijcte.org/show-41-447-1.html,Quick-Skip Searching,5.0
Fast Hybrid Algorithm,10.14569/ijacsa.2017.080615,"['Sinan Sameer', 'Nuraini bint', 'Mustafa Abdul', 'Nawaf Hazim']",4,['Fast Hybrid String Matching Algorithm based on the Quick-Skip and Tuned Boyer-Moore Algorithms'],2017.0,http://thesai.org/Publications/ViewPaper?Volume=8&Issue=6&Code=ijacsa&SerialNo=15,Fast Hybrid Algorithm,3.0
Backward Non-Deterministic DAWG Matching (BNDM),10.1007/BFb0030778,"['Gonzalo Navarro', 'Mathieu Raffinot']",2,['A bit-parallel approach to suffix automata: Fast extended string matching'],1998.0,http://link.springer.com/10.1007/BFb0030778,Backward Non-Deterministic DAWG Matching (BNDM),3.0
Commentz-Walter Algorithm,10.1007/3-540-09510-1_10,['Beate Commentz-Walter'],1,['A string matching algorithm fast on the average'],1979.0,http://link.springer.com/10.1007/3-540-09510-1_10,Commentz-Walter Algorithm,5.0
Boyer-Moore-Horspool (BMH),10.1002/spe.4380100608,['R. Nigel Horspool'],1,['Practical fast searching in strings'],1980.0,https://onlinelibrary.wiley.com/doi/10.1002/spe.4380100608,Boyer-Moore-Horspool (BMH),5.0
Raita Algorithm,10.1002/spe.4380221006,['Timo Raita'],1,['Tuning the boyer-moore-horspool string searching algorithm'],1992.0,https://onlinelibrary.wiley.com/doi/10.1002/spe.4380221006,Raita Algorithm,5.0
BOM (Backward Oracle Matching),10.1007/3-540-47849-3_18,"['Cyril Allauzen', 'Maxime Crochemore', 'Mathieu Raffinot']",3,['Factor Oracle: A New Structure for Pattern Matching'],1999.0,http://link.springer.com/10.1007/3-540-47849-3_18,BOM (Backward Oracle Matching),5.0
Gapped BLAST,10.1093/nar/25.17.3389,['S. Altschul'],1,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs'],1997.0,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/25.17.3389,Gapped BLAST,5.0
Basic Local Alignment Search Tool (BLAST),10.1016/S0022-2836(05)80360-2,"['Stephen F. Altschul', 'Warren Gish', 'Webb Miller', 'Eugene W. Myers', 'David J. Lipman']",5,['Basic local alignment search tool'],1990.0,https://linkinghub.elsevier.com/retrieve/pii/S0022283605803602,Basic Local Alignment Search Tool (BLAST),5.0
Mucha; Sankowski (planar),10.1007/s00453-005-1187-5,"['Marcin Mucha', 'Piotr Sankowski']",2,['Maximum matchings in planar graphs via gaussian elimination'],2006.0,http://link.springer.com/10.1007/s00453-005-1187-5,Mucha; Sankowski (planar),4.1864298
Blum,10.1007/bfb0032060,['Norbert Blum'],1,['A new approach to maximum matching in general graphs'],2005.0,http://link.springer.com/10.1007/BFb0032060,Blum,5.5
Gabow; Tarjan,10.1145/115234.115366,"['Harold N. Gabow', 'Robert E. Tarjan']",2,['Faster scaling algorithms for general graph matching problems'],1991.0,https://dl.acm.org/doi/10.1145/115234.115366,Gabow; Tarjan,5.5
"Mucha, Sankowski (general)",10.1109/FOCS.2004.40,"['M. Mucha', 'P. Sankowski']",2,['Maximum Matchings via Gaussian Elimination'],2004.0,http://ieeexplore.ieee.org/document/1366244/,"Mucha, Sankowski (general)",5.376
Elliptic-curve Diffie-Hellman (ECDH),10.6028/NIST.SP.800-56Ar,"['E B Barker', 'D Johnson', 'M E Smid']",3,['Recommendation for pair-wise key establishment schemes using discrete logarithm cryptography'],2007.0,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-56ar.pdf,Elliptic-curve Diffie-Hellman (ECDH),7.0
Peterson's algorithm,10.1145/945526.945527,['K. Alagarsamy'],1,['Some myths about famous mutual exclusion algorithms'],2003.0,https://dl.acm.org/doi/10.1145/945526.945527,Peterson's algorithm,3.0
Naimi-Trehel's algorithm,10.1006/jpdc.1996.0041,"['Mohamed Naimi', 'Michel Trehel', 'André Arnold']",3,['A Log (N) Distributed Mutual Exclusion Algorithm Based on Path Reversal'],1996.0,https://linkinghub.elsevier.com/retrieve/pii/S0743731596900416,Naimi-Trehel's algorithm,2.0
Chan-Singhal-Liu,10.1109/PCCC.1991.113817,"['Y.-I. Chang', 'M. Singhal', 'M.T. Liu']",3,['A dynamic token-based distributed mutual exclusion algorithm'],2002.0,http://ieeexplore.ieee.org/document/113817/,Chan-Singhal-Liu,2.0
Gremban; Miller; Zagha,10.1109/ipps.1995.395915,"['K.D. Gremban', 'G.L. Miller', 'M. Zagha']",3,['Performance evaluation of a new parallel preconditioner'],2002.0,http://ieeexplore.ieee.org/document/395915/,Gremban; Miller; Zagha,3.0
Boman; Hendrickson,10.1137/S0895479801390637,"['Erik G. Boman', 'Bruce Hendrickson']",2,['Support Theory for Preconditioning'],2003.0,http://epubs.siam.org/doi/10.1137/S0895479801390637,Boman; Hendrickson,4.25
Boman; Chen; Hendrickson; Toledo,10.1002/nla.343,"['Erik G. Boman', 'Doron Chen', 'Bruce Hendrickson', 'Sivan Toledo']",4,['Maximum-weight-basis preconditioners'],2004.0,https://onlinelibrary.wiley.com/doi/10.1002/nla.343,Boman; Chen; Hendrickson; Toledo,2.5
Blelloch; Koutis;  Miller; Tangwongsan,10.1109/SC.2010.29,"['Guy E. Blelloch', 'Ioannis Koutis', 'Gary L. Miller', 'Kanat Tangwongsan']",4,['Hierarchical Diagonal Blocking and Precision Reduction Applied to Combinatorial Multigrid'],2010.0,http://ieeexplore.ieee.org/document/5644892/,Blelloch; Koutis;  Miller; Tangwongsan,2.51
Briggs; Henson; McCormick,10.1137/1.9780898719505,"['William L. Briggs', 'Van Emden Henson', 'Steve F. McCormick']",3,"['A Multigrid Tutorial, Second Edition']",2000.0,http://epubs.siam.org/doi/book/10.1137/1.9780898719505,Briggs; Henson; McCormick,2.635
Floyd's tortoise and hare algorithm,10.1145/321420.321422,['Robert W. Floyd'],1,['Nondeterministic Algorithms'],1967.0,https://dl.acm.org/doi/10.1145/321420.321422,Floyd's tortoise and hare algorithm,3.0
Durstenfeld's Algorithm 235,10.1145/364520.364540,['Richard Durstenfeld'],1,['Algorithm 235: Random permutation'],1964.0,https://dl.acm.org/doi/10.1145/364520.364540,Durstenfeld's Algorithm 235,3.0
Sattolo's algorithm,10.1016/0020-0190(86)90073-6,['Sandra Sattolo'],1,['An algorithm to generate a random cyclic permutation'],1986.0,https://linkinghub.elsevier.com/retrieve/pii/0020019086900736,Sattolo's algorithm,3.0
Gomory's cutting method,10.1287/opre.9.6.849,"['P. C. Gilmore', 'R. E. Gomory']",2,['A Linear Programming Approach to the Cutting-Stock Problem'],1961.0,https://pubsonline.informs.org/doi/10.1287/opre.9.6.849,Gomory's cutting method,8.0
Ellipsoid method,10.1016/0041-5553(80)90061-0,['L.G. Khachiyan'],1,['Polynomial algorithms in linear programming'],1980.0,https://linkinghub.elsevier.com/retrieve/pii/0041555380900610,Ellipsoid method,5.01
Subgradient method,10.1007/978-3-642-82118-9,['Naum Zuselevich Shor'],1,['Minimization Methods for Non-Differentiable Functions'],1985.0,http://link.springer.com/10.1007/978-3-642-82118-9,Subgradient method,5.0
Buchberger's algorithm,10.1145/1088216.1088219,['B. Buchberger'],1,['A theoretical basis for the reduction of polynomials to canonical forms'],1976.0,https://dl.acm.org/doi/10.1145/1088216.1088219,Buchberger's algorithm,8.0
SMAWK algorithm,10.1007/BF01840359,"['Alok Aggarwal', 'Maria M. Klawe', 'Shlomo Moran', 'Peter Shor', 'Robert Wilber']",5,['Geometric applications of a matrix-searching algorithm'],1987.0,http://link.springer.com/10.1007/BF01840359,SMAWK algorithm,2.51
Heap's algorithm,10.1093/comjnl/6.3.293,['B. R. Heap'],1,['Permutations by Interchanges'],1963.0,https://academic.oup.com/comjnl/article-lookup/doi/10.1093/comjnl/6.3.293,Heap's algorithm,3.0
Yao,10.1137/0603055,['F. Frances Yao'],1,['Speed-Up in Dynamic Programming'],1982.0,https://epubs.siam.org/doi/10.1137/0603055,Yao,5.0
Levcopoulos; Lingas; Sack,10.1016/0304-3975(89)90134-5,"['Christos Levcopoulos', 'Andrzej Lingas', 'Jörg-R. Sack']",3,['Heuristics for optimum binary search trees and minimum weight triangulation problems'],1989.0,https://linkinghub.elsevier.com/retrieve/pii/0304397589901345,Levcopoulos; Lingas; Sack,3.0
de Prisco,10.1016/0020-0190(93)90212-R,"['Roberto De Prisco', 'Alfredo De Santis']",2,['On binary search trees'],1993.0,https://linkinghub.elsevier.com/retrieve/pii/002001909390212R,de Prisco,3.0
Lipton; Mehta,10.1145/779928.779933,"['Richard J. Lipton', 'Evangelos Markakis', 'Aranyak Mehta']",3,['Playing large games using simple strategies'],2003.0,https://dl.acm.org/doi/10.1145/779928.779933,Lipton; Mehta,8.0
Hungarian algorithm,10.1002/nav.3800020109,['H. W. Kuhn'],1,['The Hungarian method for the assignment problem'],1955.0,https://onlinelibrary.wiley.com/doi/10.1002/nav.3800020109,Hungarian algorithm,7.0
Edmonds,10.1016/0095-8956(83)90011-4,['A Schrijver'],1,['Short proofs on the matching polyhedron'],1983.0,https://linkinghub.elsevier.com/retrieve/pii/0095895683900114,Edmonds,7.0
Micali; Vazirani,10.1109/SFCS.1980.12,"['Silvio Micali', 'Vijay V. Vazirani']",2,['An O(v|v| c |E|) algoithm for finding maximum matching in general graphs'],1980.0,https://ieeexplore.ieee.org/document/4567800/,Micali; Vazirani,6.01
Mucha and Sankowski,10.1109/FOCS.2004.40,"['M. Mucha', 'P. Sankowski']",2,['Maximum Matchings via Gaussian Elimination'],2004.0,http://ieeexplore.ieee.org/document/1366244/,Mucha and Sankowski,6.0
Fleury's algorithm + Tarjan,10.1016/0020-0190(74)90003-9,['R.Endre Tarjan'],1,['A note on finding the bridges of a graph'],1974.0,https://linkinghub.elsevier.com/retrieve/pii/0020019074900039,Fleury's algorithm + Tarjan,7.0
Fleury's algorithm + Thorup,10.1145/335305.335345,['Mikkel Thorup'],1,['Near-optimal fully-dynamic graph connectivity'],2000.0,https://dl.acm.org/doi/10.1145/335305.335345,Fleury's algorithm + Thorup,5.03
Bruun's FFT algorithm,10.1109/TASSP.1978.1163036,['G. Bruun'],1,"[""z-transform DFT filters and FFT's""]",1978.0,http://ieeexplore.ieee.org/document/1163036/,Bruun's FFT algorithm,4.0
Bergland; Glenn radix-8 algorithm,10.1109/TAU.1969.1162043,['G. Bergland'],1,['A radix-eight fast Fourier transform subroutine for real-valued series'],1969.0,http://ieeexplore.ieee.org/document/1162043/,Bergland; Glenn radix-8 algorithm,4.0
Extended Split Radix FFT algorithm,10.1109/97.917698,['D. Takahashi'],1,['An extended split-radix FFT algorithm'],2001.0,http://ieeexplore.ieee.org/document/917698/,Extended Split Radix FFT algorithm,4.0
Wang-Zhu-Cantor additive FFT,10.1109/49.1926,"['Y. Wang', 'X. Zhu']",2,['A fast algorithm for the Fourier transform over finite fields and its VLSI implementation'],1988.0,http://ieeexplore.ieee.org/document/1926/,Wang-Zhu-Cantor additive FFT,4.00585
Bresenham's line algorithm,10.1147/sj.41.0025,['J. E. Bresenham'],1,['Algorithm for computer control of a digital plotter'],1965.0,http://ieeexplore.ieee.org/document/5388473/,Bresenham's line algorithm,3.0
Vatti clipping algorithm,10.1145/129902.129906,['Bala R. Vatti'],1,['A generic solution to polygon clipping'],1992.0,https://dl.acm.org/doi/10.1145/129902.129906,Vatti clipping algorithm,5.0
Inverse iteration,10.1002/zamm.19210010104,['E. Pohlhausen'],1,['Berechnung der Eigenschwingungen statisch-bestimmter Fachwerke'],1921.0,https://onlinelibrary.wiley.com/doi/10.1002/zamm.19210010104,Inverse iteration,3.0
QR algorithm,10.1093/comjnl/4.4.332,['J. G. F. Francis'],1,['The QR Transformation--Part 2'],1962.0,https://academic.oup.com/comjnl/article-lookup/doi/10.1093/comjnl/4.4.332,QR algorithm,3.0
Divide-and-conquer,10.1007/bf01389480,"['A. S. Krishnakumar', 'Martin Morf']",2,['Eigenvalues of a symmetric tridiagonal matrix: A divide-and-conquer approach'],1986.0,http://link.springer.com/10.1007/BF01389480,Divide-and-conquer,2.51
Homotopy method,10.4236/gep.2017.57002,"['Yuliang Rong', 'Xia Zhang', 'Qianshan He']",3,['Study and Analysis of Meteorological Effect on Shanghai Sheshan National Tourist Resorts in Shanghai'],2017.0,http://www.scirp.org/journal/doi.aspx?DOI=10.4236/gep.2017.57002,Homotopy method,3.0
Folded spectrum method,10.1103/PhysRev.46.828,['J. K. L. MacDonald'],1,['On the Modified Ritz Variation Method'],1934.0,https://link.aps.org/doi/10.1103/PhysRev.46.828,Folded spectrum method,3.0
MRRR algorithm,10.1145/1186785.1186788,"['Inderjit S. Dhillon', 'Beresford N. Parlett', 'Christof Vömel']",3,['The design and implementation of the MRRR algorithm'],2006.0,https://dl.acm.org/doi/10.1145/1186785.1186788,MRRR algorithm,2.5
Ridder's method,10.1109/TCS.1979.1084580,['C. Ridders'],1,['A new algorithm for computing a single root of a real continuous function'],1979.0,http://ieeexplore.ieee.org/document/1084580/,Ridder's method,3.0
Generalized expectation maximization (GEM) algorithm,10.1109/78.324732,"['J.A. Fessler', 'A.O. Hero']",2,['Space-alternating generalized expectation-maximization algorithm'],1994.0,http://ieeexplore.ieee.org/document/324732/,Generalized expectation maximization (GEM) algorithm,7.0
LogLog algorithm,10.1007/b13632,"['Giuseppe Di Battista', 'Uri Zwick']",2,['Algorithms - ESA 2003'],2010.0,http://link.springer.com/10.1007/b13632,LogLog algorithm,3.0
HyperLogLog algorithm,10.46298/dmtcs.3545,"['Philippe Flajolet', 'Éric Fusy', 'Olivier Gandouet', 'Frédéric Meunier']",4,['HyperLogLog: the analysis of a near-optimal cardinality estimation algorithm'],2007.0,https://dmtcs.episciences.org/3545,HyperLogLog algorithm,3.0
HyperLogLog++,10.1145/2452376.2452456,"['Stefan Heule', 'Marc Nunkesser', 'Alexander Hall']",3,['HyperLogLog in practice'],2013.0,https://dl.acm.org/doi/10.1145/2452376.2452456,HyperLogLog++,3.0
Chaitin's Algorithm,10.1145/872726.806984,['G. J. Chaitin'],1,['Register allocation &amp; spilling via graph coloring'],1982.0,https://dl.acm.org/doi/10.1145/872726.806984,Chaitin's Algorithm,5.0
Chow's Algorithm,10.1145/502874.502896,"['Frederick Chow', 'John Hennessy']",2,['Register allocation by priority-based coloring'],1984.0,http://portal.acm.org/citation.cfm?doid=502874.502896,Chow's Algorithm,5.0
"Linear Scan, Poletto & Sarkar",10.1145/330249.330250,"['Massimiliano Poletto', 'Vivek Sarkar']",2,['Linear scan register allocation'],1999.0,https://dl.acm.org/doi/10.1145/330249.330250,"Linear Scan, Poletto & Sarkar",3.0
"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",10.1002/(SICI)1097-024X(199608)26:8%3C929::AID-SPE40%3E3.0.CO;2-T,"['DAVID W. GOODWIN', 'KENT D. WILKEN']",2,['Optimal and Near-optimal Global Register Allocation Using 0-1 Integer Programming'],1996.0,https://onlinelibrary.wiley.com/doi/10.1002/(SICI)1097-024X(199608)26:8<929::AID-SPE40>3.0.CO;2-T,"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",6.0
Fortune's algorithm,10.1007/bf01840357,['Steven Fortune'],1,['A sweepline algorithm for Voronoi diagrams'],1987.0,http://link.springer.com/10.1007/BF01840357,Fortune's algorithm,4.0
Weighted incremental algorithm,10.1145/359146.359153,['D. H. D. West'],1,['Updating mean and variance estimates'],1979.0,https://dl.acm.org/doi/10.1145/359146.359153,Weighted incremental algorithm,3.0
Chan's algorithm Parallel Implementation,10.1007/978-3-642-51461-6_3,"['T. F. Chan', 'G. H. Golub', 'R. J. LeVeque']",3,['Updating Formulae and a Pairwise Algorithm for Computing Sample Variances'],1982.0,http://link.springer.com/10.1007/978-3-642-51461-6_3,Chan's algorithm Parallel Implementation,2.0
Kahn's algorithm,10.1145/368996.369025,['A. B. Kahn'],1,['Topological sorting of large networks'],1962.0,https://dl.acm.org/doi/10.1145/368996.369025,Kahn's algorithm,5.0
Tarjan's DFS based algorithm,10.1007/BF00268499,['Robert Endre Tarjan'],1,['Edge-disjoint spanning trees and depth-first search'],1976.0,http://link.springer.com/10.1007/BF00268499,Tarjan's DFS based algorithm,5.0
Moore's algorithm,10.2307/2964500,['Alonzo Church'],1,"['Edward F. Moore. Gedanken-experiments on sequential machines. Automata studies, edited by C. E. Shannon and J. McCarthy, Annals of Mathematics studies no. 34, litho-printed, Princeton University Press, Princeton1956, pp. 129–153.']",1958.0,https://www.cambridge.org/core/product/identifier/S0022481200059491/type/journal_article,Moore's algorithm,5.0
Revuz's algorithm,10.1016/0304-3975(92)90142-3,['Dominique Revuz'],1,['Minimisation of acyclic deterministic automata in linear time'],1992.0,https://linkinghub.elsevier.com/retrieve/pii/0304397592901423,Revuz's algorithm,3.0
Almeida & Zeitoun,10.1016/j.ipl.2008.01.003,"['Jorge Almeida', 'Marc Zeitoun']",2,['Description and analysis of a bottom-up DFA minimization algorithm'],2008.0,https://linkinghub.elsevier.com/retrieve/pii/S0020019008000112,Almeida & Zeitoun,3.0
Tarjan's off-line lowest common ancestors algorithm,10.1137/0213024,"['Dov Harel', 'Robert Endre Tarjan']",2,['Fast Algorithms for Finding Nearest Common Ancestors'],1984.0,http://epubs.siam.org/doi/10.1137/0213024,Tarjan's off-line lowest common ancestors algorithm,3.0
Schieber; Vishkin,10.1137/0217079,"['Baruch Schieber', 'Uzi Vishkin']",2,['On Finding Lowest Common Ancestors: Simplification and Parallelization'],1988.0,http://epubs.siam.org/doi/10.1137/0217079,Schieber; Vishkin,3.0
Bender; Colton [LCA <=> RMQ],10.1007/10719839,"['Gaston H. Gonnet', 'Alfredo Viola']",2,['LATIN 2000: Theoretical Informatics'],2007.0,http://link.springer.com/10.1007/10719839,Bender; Colton [LCA <=> RMQ],3.0
K Riesen,10.1007/978-3-642-38221-5_15,"['Kaspar Riesen', 'Sandro Emmenegger', 'Horst Bunke']",3,['A Novel Software Toolkit for Graph Edit Distance Computation'],2013.0,http://link.springer.com/10.1007/978-3-642-38221-5_15,K Riesen,5.0
Alberto Sanfeliu and King-Sun Fu,10.1109/TSMC.1983.6313167,"['Alberto Sanfeliu', 'King-Sun Fu']",2,['A distance measure between attributed relational graphs for pattern recognition'],1983.0,http://ieeexplore.ieee.org/document/6313167/,Alberto Sanfeliu and King-Sun Fu,7.0
"Neuhaus, Riesen, Bunke",10.1007/11815921_17,"['Michel Neuhaus', 'Kaspar Riesen', 'Horst Bunke']",3,['Fast Suboptimal Algorithms for the Computation of Graph Edit Distance'],2006.0,http://link.springer.com/10.1007/11815921_17,"Neuhaus, Riesen, Bunke",5.0
Wang Y-K; Fan K-C; Horng J-T,10.1109/3477.604100,"['Yuan-Kai Wang', 'Kuo-Chin Fan', 'Jorng-Tzong Horng']",3,['Genetic-based search for error-correcting graph isomorphism'],1997.0,https://ieeexplore.ieee.org/document/604100/,Wang Y-K; Fan K-C; Horng J-T,7.0
Tao D; Tang X; Li X et al,10.1109/tpami.2006.134,"['Dacheng Tao', 'Xiaoou Tang', 'Xuelong Li', 'Xindong Wu']",4,['Asymmetric bagging and random subspace for support vector machines-based relevance feedback in image retrieval'],2006.0,http://ieeexplore.ieee.org/document/1634340/,Tao D; Tang X; Li X et al,5.0
Finch,10.1162/089976698300017188,"['Andrew M. Finch', 'Richard C. Wilson', 'Edwin R. Hancock']",3,['An Energy Function and Continuous Edit Process for Graph Matching'],1998.0,https://direct.mit.edu/neco/article/10/7/1873-1894/6225,Finch,7.0
Segundo; Artieda;  Strash Parallel,10.1016/j.cor.2017.12.006,"['Pablo San Segundo', 'Jorge Artieda', 'Darren Strash']",3,['Efficiently enumerating all maximal cliques with bit-parallelism'],2018.0,https://linkinghub.elsevier.com/retrieve/pii/S0305054817302988,Segundo; Artieda;  Strash Parallel,8.0
M. Chrobak and D. Eppstein,10.1016/0304-3975(91)90020-3,"['Marek Chrobak', 'David Eppstein']",2,['Planar orientations with low out-degree and compaction of adjacency matrices'],1991.0,https://linkinghub.elsevier.com/retrieve/pii/0304397591900203,M. Chrobak and D. Eppstein,8.0
"Kazuhisa Makino, Takeaki Uno; Section 5",10.1007/978-3-540-27810-8_23,"['Kazuhisa Makino', 'Takeaki Uno']",2,['New Algorithms for Enumerating All Maximal Cliques'],2004.0,http://link.springer.com/10.1007/978-3-540-27810-8_23,"Kazuhisa Makino, Takeaki Uno; Section 5",5.3728596
Lawler; E. L.,10.1002/net.3230180309,"['R. Johnson', 'M. G. Pilcher']",2,"['The traveling salesman problem, edited by E.L. Lawler, J.K. Lenstra, A.H.G. Rinnooy Kan, and D.B Shmoys, John Wiley &amp; Sons, Chichester, 1985, 463 pp']",1988.0,https://onlinelibrary.wiley.com/doi/10.1002/net.3230180309,Lawler; E. L.,8.0
TSPLIB,10.1287/ijoc.3.4.376,['Gerhard Reinelt'],1,['TSPLIB—A Traveling Salesman Problem Library'],1991.0,https://pubsonline.informs.org/doi/10.1287/ijoc.3.4.376,TSPLIB,8.0
9-point Tensor product,10.1137/0113067,"['Robert E. Lynch', 'John R. Rice', 'Donald H. Thomas']",3,['Tensor Product Analysis of Alternating Direction Implicit Methods'],1965.0,http://epubs.siam.org/doi/10.1137/0113067,9-point Tensor product,6.0
9-point Tensor product,10.1137/0113067,"['Robert E. Lynch', 'John R. Rice', 'Donald H. Thomas']",3,['Tensor Product Analysis of Alternating Direction Implicit Methods'],1965.0,http://epubs.siam.org/doi/10.1137/0113067,9-point Tensor product,7.0
9-point Tensor product,10.1137/0113067,"['Robert E. Lynch', 'John R. Rice', 'Donald H. Thomas']",3,['Tensor Product Analysis of Alternating Direction Implicit Methods'],1965.0,http://epubs.siam.org/doi/10.1137/0113067,9-point Tensor product,6.0
9-point Tensor product,10.1137/0113067,"['Robert E. Lynch', 'John R. Rice', 'Donald H. Thomas']",3,['Tensor Product Analysis of Alternating Direction Implicit Methods'],1965.0,http://epubs.siam.org/doi/10.1137/0113067,9-point Tensor product,7.0
Flipping algorithm,10.1007/PL00009464,"['F. Hurtado', 'M. Noy', 'J. Urrutia']",3,['Flipping Edges in Triangulations'],1999.0,http://link.springer.com/10.1007/PL00009464,Flipping algorithm,5.0
de Berg; Cheong,10.1145/2935764.2935766,"['Guy E. Blelloch', 'Yan Gu', 'Julian Shun', 'Yihan Sun']",4,['Parallelism in Randomized Incremental Algorithms'],2016.0,https://dl.acm.org/doi/10.1145/2935764.2935766,de Berg; Cheong,4.0
Belloch,10.1145/2935764.2935766,"['Guy E. Blelloch', 'Yan Gu', 'Julian Shun', 'Yihan Sun']",4,['Parallelism in Randomized Incremental Algorithms'],2016.0,https://dl.acm.org/doi/10.1145/2935764.2935766,Belloch,4.0
Fortune,10.1145/142675.142695,['Steven Fortune'],1,['Numerical stability of algorithms for 2D Delaunay triangulations'],1992.0,http://portal.acm.org/citation.cfm?doid=142675.142695,Fortune,4.0
Fortune,10.1145/142675.142695,['Steven Fortune'],1,['Numerical stability of algorithms for 2D Delaunay triangulations'],1992.0,http://portal.acm.org/citation.cfm?doid=142675.142695,Fortune,5.0
Dwyer,10.1007/BF01840356,['Rex A. Dwyer'],1,['A faster divide-and-conquer algorithm for constructing delaunay triangulations'],1987.0,http://link.springer.com/10.1007/BF01840356,Dwyer,4.0
Drysdale; Su,10.1016/s0925-7721(96)00025-9,"['Peter Su', 'Robert L. Scot Drysdale']",2,['A comparison of sequential Delaunay triangulation algorithms'],1997.0,https://linkinghub.elsevier.com/retrieve/pii/S0925772196000259,Drysdale; Su,3.0
Dwyer (higher dimensions),10.1007/BF02574694,['Rex A. Dwyer'],1,['Higher-dimensional voronoi diagrams in linear expected time'],1991.0,http://link.springer.com/10.1007/BF02574694,Dwyer (higher dimensions),3.99
"de Bruijn Graph (Idury, Waterman)",10.1089/cmb.1995.2.291,"['RAMANA M. IDURY', 'MICHAEL S. WATERMAN']",2,['A New Algorithm for DNA Sequence Assembly'],1995.0,http://www.liebertpub.com/doi/10.1089/cmb.1995.2.291,"de Bruijn Graph (Idury, Waterman)",5.0
String Graph (Myers),10.1089/cmb.1995.2.275,['EUGENE W. MYERS'],1,['Toward Simplifying and Accurately Formulating Fragment Assembly'],1995.0,http://www.liebertpub.com/doi/10.1089/cmb.1995.2.275,String Graph (Myers),4.0
Brute force algorithm,10.1016/0166-218X(92)90031-5,"['Heikki Mannila', 'Kari-Jouko Räihä']",2,['On the complexity of inferring functional dependencies'],1992.0,https://linkinghub.elsevier.com/retrieve/pii/0166218X92900315,Brute force algorithm,8.0
