project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dijkstra's_algorithm,monthly,2021050100,all-access,user,90419
en.wikipedia,Dijkstra's_algorithm,monthly,2021060100,all-access,user,74162
en.wikipedia,Dijkstra's_algorithm,monthly,2021070100,all-access,user,67437
en.wikipedia,Dijkstra's_algorithm,monthly,2021080100,all-access,user,63609
en.wikipedia,Dijkstra's_algorithm,monthly,2021090100,all-access,user,66524
en.wikipedia,Dijkstra's_algorithm,monthly,2021100100,all-access,user,83916
en.wikipedia,Dijkstra's_algorithm,monthly,2021110100,all-access,user,92748
en.wikipedia,Dijkstra's_algorithm,monthly,2021120100,all-access,user,130655
en.wikipedia,Dijkstra's_algorithm,monthly,2022010100,all-access,user,79313
en.wikipedia,Dijkstra's_algorithm,monthly,2022020100,all-access,user,74879
en.wikipedia,Dijkstra's_algorithm,monthly,2022030100,all-access,user,86172
en.wikipedia,Dijkstra's_algorithm,monthly,2022040100,all-access,user,89566
en.wikipedia,Dijkstra's_algorithm,monthly,2022050100,all-access,user,89302
en.wikipedia,Dijkstra's_algorithm,monthly,2022060100,all-access,user,72176
en.wikipedia,Dijkstra's_algorithm,monthly,2022070100,all-access,user,57642
en.wikipedia,Dijkstra's_algorithm,monthly,2022080100,all-access,user,56833
en.wikipedia,Dijkstra's_algorithm,monthly,2022090100,all-access,user,67495
en.wikipedia,Dijkstra's_algorithm,monthly,2022100100,all-access,user,86287
en.wikipedia,Dijkstra's_algorithm,monthly,2022110100,all-access,user,108614
en.wikipedia,Dijkstra's_algorithm,monthly,2022120100,all-access,user,131138
en.wikipedia,Dijkstra's_algorithm,monthly,2023010100,all-access,user,79680
en.wikipedia,Dijkstra's_algorithm,monthly,2023020100,all-access,user,74058
en.wikipedia,Dijkstra's_algorithm,monthly,2023030100,all-access,user,86982
en.wikipedia,Dijkstra's_algorithm,monthly,2023040100,all-access,user,84445
en.wikipedia,Dijkstra's_algorithm,monthly,2023050100,all-access,user,82039
